date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:59	12220/12220	---M--	200	added ('OK')	text/html	etag:%222fbc-5736c46b44aa5%22	http://innovationplans.com/idesign/buka/fonts/fa-regular-400.woff2	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-regular-401.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:46:59	14712/14712	---M--	200	added ('OK')	text/html	etag:%223978-5736c46b46d53%22	http://innovationplans.com/idesign/buka/fonts/fa-regular-400.woff	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-regular-402.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:01	30928/30928	---M--	200	added ('OK')	text/html	etag:%2278d0-5736c46a0497c%22	http://innovationplans.com/idesign/buka/fonts/fa-regular-400.ttf	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-regular-403.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:03	400/400	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2014:17:04%20GMT	http://innovationplans.com/idesign/buka/fonts/fa-regular-400.svg	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-regular-400.svg	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:05	404/404	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2014:17:06%20GMT	https://innovationplans.com/idesign/buka/fonts/fa-regular-400.svg	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-regular-400.svg	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:08	29647/29647	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2014:17:09%20GMT	https://www.innovationplans.com/idesign/buka/fonts/fa-regular-400.svg	/home/vardhan/websites/portfolio/www.innovationplans.com/idesign/buka/fonts/fa-regular-400.svg	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:12	102152/102152	---M--	200	added ('OK')	text/html	etag:%2218f08-5736c46e4a15d%22	http://innovationplans.com/idesign/buka/fonts/fa-solid-900.eot	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-900.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:14	102152/102152	---M--	200	added ('OK')	text/html	etag:%2218f08-5736c46e4a15d%22	http://innovationplans.com/idesign/buka/fonts/fa-solid-900.eot?	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-900d41d.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:16	38784/38784	---M--	200	added ('OK')	text/html	etag:%229780-5736c473466cf%22	http://innovationplans.com/idesign/buka/fonts/fa-solid-900.woff2	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-901.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:18	48704/48704	---M--	200	added ('OK')	text/html	etag:%22be40-5736c4757c593%22	http://innovationplans.com/idesign/buka/fonts/fa-solid-900.woff	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-902.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:20	101932/101932	---M--	200	added ('OK')	text/html	etag:%2218e2c-5736c46ef863b%22	http://innovationplans.com/idesign/buka/fonts/fa-solid-900.ttf	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-903.html	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:22	398/398	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2014:17:21%20GMT	http://innovationplans.com/idesign/buka/fonts/fa-solid-900.svg	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-900.svg	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:27	402/402	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2014:17:27%20GMT	https://innovationplans.com/idesign/buka/fonts/fa-solid-900.svg	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/fonts/fa-solid-900.4d.delayed	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:30	29647/29647	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2014:17:30%20GMT	https://www.innovationplans.com/idesign/buka/fonts/fa-solid-900.svg	/home/vardhan/websites/portfolio/www.innovationplans.com/idesign/buka/fonts/fa-solid-900.4e.delayed	(from http://innovationplans.com/idesign/buka/css/plugins/fontawesome-all.min.css)
19:47:32	406/406	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2014:17:31%20GMT	http://innovationplans.com/idesign/buka/css/plugins/owl.video.play.png	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/css/plugins/owl.video.play.png	(from http://innovationplans.com/idesign/buka/css/plugins/owl.carousel.min.css)
19:47:32	410/410	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2014:17:33%20GMT	https://innovationplans.com/idesign/buka/css/plugins/owl.video.play.png	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/css/plugins/owl.video.play.png	(from http://innovationplans.com/idesign/buka/css/plugins/owl.carousel.min.css)
19:47:35	29647/29647	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2014:17:36%20GMT	https://www.innovationplans.com/idesign/buka/css/plugins/owl.video.play.png	/home/vardhan/websites/portfolio/www.innovationplans.com/idesign/buka/css/plugins/owl.video.play.png	(from http://innovationplans.com/idesign/buka/css/plugins/owl.carousel.min.css)
19:47:35	0/-1	---M--	409	error ('')			http://innovationplans.com/idesign/buka/contact.php	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/contact.html	(from http://innovationplans.com/idesign/buka/js/scripts.js)
19:47:35	0/-1	---M--	409	error ('')			http://innovationplans.com/idesign/buka/contact.php	/home/vardhan/websites/portfolio/innovationplans.com/idesign/buka/contact.html	(from http://innovationplans.com/idesign/buka/js/scripts.js)
