date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:42	26185/26185	---MCZ	200	added ('OK')	text/html	etag:W/%220b743492191e33e998013dabeaecf7f7%22	https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270	/home/vardhan/websites/portfolio/preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917c8f0.html	(from )
18:45:42	47/47	---MCZ	200	added ('OK')	text/plain	etag:W/%22632265c2-1b%22	https://preview.themeforest.net/robots.txt		(from )
18:45:50	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2017%20Sep%202022%2013:15:46%20GMT	http://s3.envato.com/	/home/vardhan/websites/portfolio/s3.envato.com/index.html	(from https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270)
18:45:50	56337/56337	---M--	200	added ('OK')	image/png	etag:%22616011db88935edc6a2fef5c746a08c5%22	https://public-assets.envato-static.com/assets/generated_sprites/logos-6f8a015ab6d9602102f6c4dde38bf1a128f2647f20b76023c4793c2d3d86e57c.png	/home/vardhan/websites/portfolio/public-assets.envato-static.com/assets/generated_sprites/logos-6f8a015ab6d9602102f6c4dde38bf1a128f2647f20b76023c4793c2d3d86e57c.png	(from https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270)
18:45:50	9797/9797	---M--	200	added ('OK')	image/png	etag:%2264089c65cdcb56ecdfdcccb445fb844c%22	https://public-assets.envato-static.com/assets/generated_sprites/common-14f8bc60470b39265fe5c01e92035209bd04b91cd7da99d59ca3ccd9de5eac62.png	/home/vardhan/websites/portfolio/public-assets.envato-static.com/assets/generated_sprites/common-14f8bc60470b39265fe5c01e92035209bd04b91cd7da99d59ca3ccd9de5eac62.png	(from https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270)
18:45:50	0/0	---MC-	410	error ('Gone')	text/html	date:Sat,%2017%20Sep%202022%2013:15:50%20GMT	https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/&quot;https://themeforest.net/user/kwst&quot;&gt;&lt;img	/home/vardhan/websites/portfolio/preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/&quot;https_/themeforest.net/user/kwst&quot;&gt;&lt;img	(from https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270)
18:45:51	0/0	---MC-	410	error ('Gone')	text/html	date:Sat,%2017%20Sep%202022%2013:15:51%20GMT	https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/&quot;http://cas...%22	/home/vardhan/websites/portfolio/preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/&quot;http_/cas..._	(from https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270)
18:45:52	109/109	---M--	200	added ('OK')	text/plain	etag:%22a5d73771bc6bf82e6cec25c3abc509b4%22	http://s3.envato.com/robots.txt		(from https://preview.themeforest.net/item/vbook-creative-vcard-resume-portfolio-template/full_screen_preview/39015917?_ga=2.111721220.129374069.1663418270-1842514587.1663418270)
